,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
57511,47940.0,-2.45437096640891,-0.530124425307643,0.536536699816987,-0.880329489114869,-1.47878665701854,1.03473109563564,0.595905662290617,0.90677987546005,-0.0182935328195081,-1.66503836991501,-0.492552370269275,1.31027717513649,1.06466799705971,-0.131505220352141,-1.68313799922368,0.984104125691799,-0.584520403981857,0.34490890664821,0.47848729193345,0.0121112520894256,-0.043188748768741,-0.415313907406319,-0.022431097994288,-0.728832230341022,0.0709246904484394,0.81849577852522,-0.18613228934396,-0.31925600132708,347.25,0
276546,167158.0,2.07758455887693,-0.171762780404545,-1.48491301108619,0.0695028102807783,0.377610474202125,-0.31012971580382,0.0489892887126333,-0.107499752293887,0.395935764175637,0.249155669352928,-0.0049763193408333,0.63291107590923,-0.138220148082466,0.47160364318323,-0.552391302432262,0.403428496668821,-0.892266655629942,-0.0037102264365757,0.819712069930879,-0.185222016162884,-0.303818979150622,-0.802401019614297,0.199195692477683,-1.04482183912929,-0.205036024456856,0.241956457891227,-0.079142082170327,-0.0798855107168646,8.73,0
135389,81230.0,1.09263208770927,-0.501920731839571,0.978936289546522,0.0234680364355691,-0.756248494071953,0.625158921888219,-0.751185311374416,0.311447118245927,0.849224724946893,-0.362120994540417,0.958822827214247,1.63577760178394,0.672170989056554,-0.490774559979269,-0.804808804854175,-0.151397570348814,0.0115445754791075,-0.570451648632395,0.506236057377768,0.0191955083807044,-0.149969612262436,-0.201154299713911,0.0223734146930303,-0.199633299087842,0.0915575611922183,0.969157322859669,-0.0221789818179446,0.0041741861417432,37.73,0
108452,70907.0,0.0303705192407096,1.60317321047805,-2.21730401566868,1.61032186085696,1.25395300777839,-0.125151040894104,0.216585074945754,0.725882821970937,-0.363642759377359,-1.47223955525996,1.69868373862722,-0.422320963230743,-1.03055934420315,-2.95384418908321,2.2117629645301,-0.369500976617735,4.34945601937383,-0.405034258584345,-2.07267139016104,-0.241952239019124,0.0357210400826755,0.325625122957643,0.440859077163756,-1.00809863479659,-0.802893924503938,-0.295564195297226,0.0819668851010454,-0.0778479613019598,9.95,0
170723,120325.0,1.99558974768958,0.48015801051955,-2.28451416619503,1.3846839049351,0.989220756207524,-0.756334934453246,0.567087335920819,-0.202670793699957,-0.102722356074289,-0.176899597621808,1.10567455246265,0.578957732190758,-0.598525971632211,-0.757706377404136,-1.05154961784622,0.0237728515460893,0.725215689209444,0.628725907888846,-0.085382953135272,-0.227741083586031,0.006426065194633,0.176079474227771,-0.0002179786822931,0.634509151383167,0.452712765678618,-0.546835653864484,-0.0092418263149979,-0.0320611414790661,6.1,0
50555,44539.0,-3.49904457013661,3.13385415709526,-1.21358576253718,1.09633128702078,-2.24079215900352,-0.434352595083123,-2.0271846941665,2.86921208315871,-0.747579953951658,-1.13618549830525,-2.34478228114452,0.837646824638889,-0.0940258779582721,1.94655513416092,-0.162412011034017,0.275180471373162,1.18073659942873,0.156466835611229,1.02145573365327,-0.741008545042971,0.166517868756537,-0.490646634048684,0.234808981882019,-0.154986178124252,0.0143142269483637,-0.501462993830051,-1.28846127975077,-0.265921115199797,4.96,0
174109,121773.0,2.00451170705473,-1.32279814588106,-0.776759375009584,-1.09130822980888,-0.844246691849912,0.219875972484106,-1.15534565713555,0.123629200807716,-0.0956498604973497,0.898311118452555,0.441362652743483,-0.129264720702787,0.223830781756742,-0.282268857463265,-0.019039905002621,1.77247232272753,-0.480460446644207,-0.218830834138921,0.753892912527355,0.197769948399711,0.457517258235513,1.10628150695102,0.0210168288955796,0.231822053121207,-0.177120742918786,-0.0951361271373707,-0.0097782068855936,-0.038795742215864,95.0,0
130530,79372.0,1.20203796350935,-0.244049500811223,0.564469305959038,-0.779982850416023,-1.00461192260078,-1.1406164170483,-0.265802483824988,-0.0438550417240749,1.40996274510349,-0.972627869031466,0.347363944919523,0.24096040279538,-1.30571117800057,0.592072323774625,2.13786724049873,-0.77072418734591,0.254327832200688,-0.425909231616819,-0.0653140685357695,-0.238842802819927,-0.0129027611505096,0.0483656048603577,0.0950042824101251,0.565942298672531,0.346017838673788,-0.766812394848296,0.0698499872233061,0.0288155811948725,4.73,0
44437,41944.0,0.408495954029492,-2.12791846491924,-0.594128246519638,-0.228542564876254,-1.20296991675643,-0.371128545609039,0.322055395961347,-0.245343910085472,-1.059473677527,0.563948019986519,0.628418895773567,0.440550383403479,-0.0195698213252973,0.35773401976414,-0.630024023266155,-1.42591338498647,-0.0294706392670995,1.33148427310503,-0.207975690783878,0.537048705937996,-0.115638350082412,-0.9218916071,-0.501548668582046,0.0768421068714573,0.254402544894364,1.04156453467062,-0.170213910111518,0.0721086411434923,512.9,0
82327,59359.0,1.11606950331352,-1.00823014686526,0.0068711172719729,-1.68058549684073,-0.567847864868263,0.437020755219699,-0.648185342497082,0.170455351861324,1.79272578928912,-1.04267240571849,-0.255214518237266,0.827727087397291,0.248875295698934,-0.104274637251204,0.777678476751018,0.296179880328503,-0.950671112174518,1.28381745826459,1.57770960950995,0.229605539871758,0.124514705371569,0.323498956874521,-0.437028578318003,-1.30655716481808,0.640519046049573,0.190818982997895,0.0162084718560314,0.0167833661605948,125.0,0
