,RowNumber,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6252,5839,80,205,1,1,14,4,6144,1,0,0,6721,0
4684,4096,1164,232,0,1,25,1,0,1,1,1,2620,0
1731,816,73,210,2,0,26,5,0,1,1,0,7661,0
4742,4161,1551,115,1,1,41,9,1552,1,1,1,3914,0
4521,3916,538,169,2,0,9,8,2068,0,1,1,832,0
6340,5937,2351,399,2,1,19,9,0,1,1,1,2783,0
576,5301,1996,48,2,0,14,4,3171,0,1,0,8608,0
5202,4673,1855,206,1,0,4,7,106,0,1,0,8330,1
6363,5962,1480,287,2,0,22,5,1093,0,1,0,3653,0
439,3780,1242,73,1,0,24,4,5605,0,1,1,3560,0
2750,1948,1594,90,0,0,39,10,0,2,1,1,3853,1
7487,7210,1747,260,0,0,38,5,0,0,0,0,9116,1
5272,4750,866,459,0,1,29,7,0,0,1,0,4832,1
5653,5173,972,296,1,0,23,3,4018,0,1,0,3242,0
3999,3337,1607,305,0,1,1,1,852,0,1,1,5964,0
6033,5596,491,221,2,0,18,6,1604,1,1,0,3300,0
582,5368,2262,195,2,0,39,4,0,1,0,1,7772,0
9930,9925,2316,34,1,1,22,10,4403,1,0,1,4031,0
7051,6727,171,252,2,1,25,1,0,1,1,1,2584,0
8158,7956,1445,250,0,0,19,3,0,1,1,0,6599,0
9896,9886,2068,404,0,0,22,3,126,0,1,1,4615,0
2249,1392,2030,371,0,1,17,10,0,1,1,1,6796,0
4640,4048,1002,296,0,0,26,10,0,1,0,0,190,1
9485,9430,2629,459,2,1,19,5,5699,0,1,0,584,0
4947,4388,1321,362,0,0,44,7,0,1,1,1,2052,0
9920,9914,2473,287,0,0,31,4,4777,0,0,1,8506,1
1963,1073,741,187,1,1,16,9,3695,1,1,0,8125,0
8243,8051,1716,434,0,1,11,4,3778,1,0,1,8375,0
6590,6214,2786,305,2,0,12,0,0,1,1,1,9437,0
8847,8721,537,66,0,1,22,2,2847,1,1,0,2863,0
321,2469,2653,289,0,0,12,9,3333,0,1,1,3476,0
2678,1867,1235,428,0,0,20,2,0,1,1,0,6100,0
4625,4031,522,119,0,0,27,2,279,1,0,1,8734,0
4949,4391,1146,176,0,1,18,1,0,1,0,0,9185,0
8328,8145,248,247,2,1,16,6,3657,0,1,0,136,0
3337,2600,441,188,2,1,38,5,6337,0,0,0,6908,1
5589,5102,1416,324,1,0,19,10,412,0,0,0,2431,1
251,1691,1857,196,2,0,16,1,0,1,1,1,9898,0
3973,3306,441,320,2,1,20,4,2401,0,0,0,842,0
6630,6259,1983,350,0,0,18,4,0,1,1,1,9423,0
5547,5055,1790,297,0,1,20,8,3725,0,1,0,4182,1
35,2890,1587,84,0,0,27,0,2845,0,1,0,5971,1
8362,8183,1556,176,0,1,18,8,0,1,0,1,6583,0
1513,574,1479,49,0,1,24,3,0,1,1,0,7168,0
9317,9244,1817,350,0,1,24,7,449,0,1,0,5233,1
39,3335,396,191,1,1,23,7,5116,1,0,1,4341,0
4819,4247,2767,222,0,1,8,5,33,0,0,1,2807,0
3465,2742,728,301,1,0,25,3,5090,1,0,0,3592,0
1760,848,1199,130,0,1,20,6,830,0,0,1,2059,1
2304,1453,2900,368,2,0,17,8,3719,0,1,1,415,0
3723,3029,2100,324,1,1,24,3,5698,1,1,1,5617,0
8284,8096,2824,320,0,0,21,4,3948,0,1,0,9455,0
4993,4439,2558,163,0,0,26,7,5905,0,1,0,1475,0
8127,7922,2582,260,1,1,17,9,792,0,1,0,1580,1
3032,2262,1847,104,2,0,27,4,5750,2,1,0,1990,1
7938,7711,2774,414,0,1,21,3,0,0,0,0,3687,0
3039,2270,147,438,2,0,8,9,97,1,1,1,5155,0
9655,9619,1932,192,0,0,22,5,4905,1,1,0,5908,0
2545,1720,1947,295,0,0,25,0,0,0,1,1,3875,0
2592,1772,2662,114,1,1,22,7,4864,1,1,1,3071,0
1188,212,2422,137,0,1,12,3,2357,1,1,0,7218,0
7966,7742,1614,286,2,0,16,5,0,1,1,1,7843,0
6077,5644,1908,269,1,0,19,3,2754,0,0,0,8384,0
107,91,2122,394,1,0,18,3,6364,0,0,1,6468,0
1315,354,277,216,2,0,9,6,61,0,0,0,8644,0
8187,7988,1621,212,2,0,21,6,4289,1,1,0,7432,0
2753,1951,2314,89,0,0,10,7,0,1,0,0,7067,0
9753,9728,485,265,1,1,50,8,3998,0,1,1,4799,0
6231,5816,2142,240,1,1,30,1,482,0,1,1,2853,1
2876,2087,2595,213,2,0,17,8,3687,0,1,1,7616,0
5323,4807,2893,231,0,1,14,6,4630,0,1,1,2762,0
799,7780,2576,210,1,0,24,10,2789,0,0,1,203,0
3570,2859,2295,283,0,1,28,3,4561,0,1,0,9447,1
2894,2107,2477,140,0,1,13,4,0,0,1,1,6768,0
2927,2144,1630,241,0,1,14,7,917,0,1,1,3895,0
8178,7978,1230,316,0,0,28,8,2281,1,1,1,2595,0
971,9690,352,332,0,1,7,4,0,1,1,1,1945,0
6687,6321,674,404,1,1,20,8,2151,1,1,1,1550,0
8575,8419,149,194,2,1,27,0,0,1,0,0,4960,0
